,index,default_flag,number_of_stars,number_of_planets,planet_orbital_period,orbit_semimajor_axis,planet_radius,stellar_temperature,stellar_radius,stellar_mass,system_distance,habitable
0,0.0,1.0,2.0,1.0,326.03,1.29,16.44122000000001,4742.0,19.0,2.7,93.1846,0.0
1,3.0,1.0,1.0,1.0,516.21997,1.53,17.431380000000008,4213.0,29.79,2.78,125.321,0.0
2,6.0,1.0,1.0,1.0,185.84,0.83,13.911570000000006,4813.0,11.0,2.2,75.4392,0.0
3,12.0,1.0,1.0,2.0,1773.40002,2.93,5.7692,5338.0,0.93,0.9,17.9323,0.0
4,15.0,1.0,3.0,1.0,798.5,1.66,9.44278999999999,5750.0,1.13,1.08,21.1397,0.0
5,20.0,1.0,1.0,1.0,578.38,1.45,16.258600000000005,4157.0,25.92,1.22,124.953,0.0
6,21.0,1.0,2.0,1.0,993.3,2.6,15.45287000000001,4979.0,8.5,2.3,76.222,0.0
7,24.0,1.0,1.0,1.0,5473780.0,330.0,18.70552,4060.0,14.928699999999997,0.85,139.135,0.0
8,27.0,1.0,1.0,1.0,30.3506,0.19,13.824920000000006,4893.0,10.64,0.99,95.9863,0.0
9,28.0,1.0,1.0,2.0,452.8,1.333,9.113869999999995,5098.0,4.9,1.54,72.0691,0.0
10,29.0,1.0,1.0,2.0,883.0,2.08,9.113869999999995,5098.0,4.9,1.54,72.0691,0.0
11,30.0,1.0,2.0,1.0,109233.5,84.0,19.024940000000004,2376.51,8.905999999999993,0.19,126.6843640000001,0.0
12,32.0,1.0,1.0,1.0,76653.625,52.0,17.68625,3530.0,8.751399999999991,0.4,33.8281,0.0
13,33.0,1.0,1.0,1.0,5548693.375,156.0,16.141,3064.0,0.28,0.11,104.41397300000003,0.0
14,34.0,1.0,1.0,1.0,570242.328375,15.0,18.949820000000003,1851.62,8.616599999999998,0.02,81.65924399999996,0.0
15,36.0,1.0,1.0,1.0,646546.875,55.0,18.880529999999997,1872.525,8.533199999999999,0.02,64.308,0.0
16,37.0,1.0,2.0,1.0,416.0,0.92,14.260060000000001,4600.585,10.189699999999998,0.48,396.332,0.0
17,38.0,1.0,1.0,1.0,7336.5,5.156130000000001,10.31,2300.0,0.12,0.08,43.853378,0.0
18,39.0,1.0,1.0,1.0,5451483.375,230.0,18.57128999999999,4045.0,8.27039999999999,0.6,69.5737,0.0
19,42.0,1.0,4.0,1.0,335.10001,0.99,9.070889999999993,6331.0,1.41,1.93,44.657,0.0
20,43.0,1.0,1.0,1.0,269.3,0.87,14.623230000000008,4415.0,18.11,1.23,73.4603,0.0
21,44.0,1.0,2.0,1.0,479.1,1.19,16.282999999999994,4200.0,22.03,0.98,90.6545,0.0
